from_portid,from_portname,from_country,from_iso3,from_lat,from_lon,to_country,to_iso3,to_lat,to_lon,industry,hs_section,unit,scale,daily_export_value_at_risk,daily_import_value_at_risk,source_row_id
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Saudi Arabia,SAU,24.136038144757897,44.6009581782256,"Plastics, Rubber, Leather",7+8,US Dollars,Unit,213574.3979804093,3729.3872251904627,206401
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Saudi Arabia,SAU,24.136038144757897,44.6009581782256,Prepared Foodstuffs & Beverages,3+4,US Dollars,Unit,,616358.2448983007,206402
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Saudi Arabia,SAU,24.136038144757897,44.6009581782256,Stone & Glass,13+14,US Dollars,Unit,7367.947104340584,1154.3057906058636,206403
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Saudi Arabia,SAU,24.136038144757897,44.6009581782256,Textiles & Footwear,11+12,US Dollars,Unit,510.77744579689414,1554.5155206415143,206404
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Saudi Arabia,SAU,24.136038144757897,44.6009581782256,Total,,US Dollars,Unit,1835177.0540962399,4168587.434791021,206405
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Saudi Arabia,SAU,24.136038144757897,44.6009581782256,Vegetable Products,2,US Dollars,Unit,,2313892.266904642,206406
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Saudi Arabia,SAU,24.136038144757897,44.6009581782256,Vehicles & Equipment,17,US Dollars,Unit,0.2698331409721508,267.36919696963724,206407
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Saudi Arabia,SAU,24.136038144757897,44.6009581782256,Wood & Wood Products,9+10,US Dollars,Unit,,99583.08198948266,206410
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Singapore,SGP,1.352825189000635,103.81025757634052,Animal & Animal Products,1,US Dollars,Unit,0.023023212870744134,1573690.588450857,206434
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Singapore,SGP,1.352825189000635,103.81025757634052,Chemical & Allied Industries,6,US Dollars,Unit,730.6288341671869,26426.113139123954,206435
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Singapore,SGP,1.352825189000635,103.81025757634052,Machinery & Electrical Equipment,16+18,US Dollars,Unit,119785.80425681817,84587.52128336638,206436
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Singapore,SGP,1.352825189000635,103.81025757634052,Metals,15,US Dollars,Unit,56833.73760583986,53502.56181342408,206437
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Singapore,SGP,1.352825189000635,103.81025757634052,Mineral Products,5,US Dollars,Unit,1934.1570615204243,486778.9934818773,206438
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Singapore,SGP,1.352825189000635,103.81025757634052,Miscellaneous,19+20+21,US Dollars,Unit,1340.2144652298844,3243.5885269563773,206439
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Singapore,SGP,1.352825189000635,103.81025757634052,"Plastics, Rubber, Leather",7+8,US Dollars,Unit,3052.0631338876524,9489.941831616641,206440
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Singapore,SGP,1.352825189000635,103.81025757634052,Prepared Foodstuffs & Beverages,3+4,US Dollars,Unit,0.10052109756607246,287285.41490594996,206441
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Singapore,SGP,1.352825189000635,103.81025757634052,Stone & Glass,13+14,US Dollars,Unit,1130.8439247279807,1264.5148220626686,206442
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Singapore,SGP,1.352825189000635,103.81025757634052,Textiles & Footwear,11+12,US Dollars,Unit,30397.27283839046,21486.461740500283,206446
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Singapore,SGP,1.352825189000635,103.81025757634052,Total,,US Dollars,Unit,216703.19500227727,2604486.837540635,206447
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Singapore,SGP,1.352825189000635,103.81025757634052,Vegetable Products,2,US Dollars,Unit,375.51710957476905,31852.1170858905,206448
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Singapore,SGP,1.352825189000635,103.81025757634052,Vehicles & Equipment,17,US Dollars,Unit,116.23759492828037,8970.720140936675,206449
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Singapore,SGP,1.352825189000635,103.81025757634052,Wood & Wood Products,9+10,US Dollars,Unit,1006.5946328821436,15908.300318073032,206450
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Russian Federation,RUS,59.039434214106194,98.6704990698032,Animal & Animal Products,1,US Dollars,Unit,1694.900717578659,21073.217310740907,206615
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Russian Federation,RUS,59.039434214106194,98.6704990698032,Chemical & Allied Industries,6,US Dollars,Unit,4998673.542377476,24850.742482993282,206687
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Russian Federation,RUS,59.039434214106194,98.6704990698032,Machinery & Electrical Equipment,16+18,US Dollars,Unit,11590.009175347246,162306.50957459558,206688
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Russian Federation,RUS,59.039434214106194,98.6704990698032,Metals,15,US Dollars,Unit,125284.43564981261,297.4032188640098,206689
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Russian Federation,RUS,59.039434214106194,98.6704990698032,Mineral Products,5,US Dollars,Unit,599619.0529797516,110.55804432740773,206691
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Russian Federation,RUS,59.039434214106194,98.6704990698032,Miscellaneous,19+20+21,US Dollars,Unit,14.26251248120156,8.603180836172154,206693
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Russian Federation,RUS,59.039434214106194,98.6704990698032,"Plastics, Rubber, Leather",7+8,US Dollars,Unit,59771.996852651544,1490.5927708460322,206695
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Russian Federation,RUS,59.039434214106194,98.6704990698032,Prepared Foodstuffs & Beverages,3+4,US Dollars,Unit,6407.726724731083,40471.426780747424,206697
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Taiwan Province of China,TWN,23.725268,120.936523,Animal & Animal Products,1,US Dollars,Unit,1895.4804725893455,62650.06429195107,206698
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Russian Federation,RUS,59.039434214106194,98.6704990698032,Stone & Glass,13+14,US Dollars,Unit,2218.278894872407,806.0473829407651,206699
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Taiwan Province of China,TWN,23.725268,120.936523,Chemical & Allied Industries,6,US Dollars,Unit,318177.55868303234,12070.367383150848,206700
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Russian Federation,RUS,59.039434214106194,98.6704990698032,Textiles & Footwear,11+12,US Dollars,Unit,311.19548811412477,177.8138126044209,206701
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Taiwan Province of China,TWN,23.725268,120.936523,Machinery & Electrical Equipment,16+18,US Dollars,Unit,22089.943473434403,22348.208565817775,206702
